# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
33.15,-10.95,28.02,28016.00,,,,,,,14.58,0.00,12.03,4.26,14.58,3.86
33.15,-10.95,28.14,28136.00,,,,,,,14.58,0.00,12.03,4.26,12.79,3.68
33.15,-10.95,28.26,28256.00,,,,,,,14.58,0.00,12.03,4.26,12.79,3.68
33.15,-10.95,28.38,28376.00,,,,,,,14.58,0.00,9.49,4.21,12.79,3.68
33.15,-10.96,28.50,28496.00,14.58,0.24,5.22,0.20,1.55,1.55,12.03,2.55,9.49,4.21,12.79,3.68
33.15,-10.96,28.62,28616.00,,,,,,,9.49,3.40,9.49,4.21,14.58,3.86
33.15,-10.96,28.74,28736.00,,,,,,,7.91,3.43,12.03,4.28,12.79,3.95
33.15,-10.96,28.86,28856.00,,,,,,,7.91,3.43,12.03,4.28,12.79,3.95
33.15,-10.96,28.98,28976.00,9.49,0.13,2.39,0.20,1.49,1.49,7.91,3.43,9.49,4.02,10.99,3.78
33.15,-10.96,29.10,29096.00,6.34,0.24,2.25,0.10,2.28,2.28,6.34,1.55,10.24,3.68,10.54,3.61
33.15,-10.96,29.22,29216.00,6.06,0.17,3.30,0.01,2.23,2.23,6.34,1.55,10.24,3.68,10.54,3.61
33.15,-10.96,29.34,29336.00,,,,,,,6.34,1.55,10.24,3.68,10.08,3.54
33.15,-10.96,29.46,29456.00,,,,,,,6.34,1.55,10.24,3.68,10.08,3.54
33.15,-10.97,29.58,29576.00,,,,,,,6.20,0.14,10.24,3.68,10.08,3.54
33.15,-10.97,29.70,29696.00,,,,,,,10.85,4.78,10.24,3.68,10.08,3.54
33.15,-10.97,29.82,29816.00,,,,,,,15.63,0.00,10.24,3.68,10.08,3.54
33.15,-10.97,29.94,29936.00,,,,,,,15.63,0.00,9.92,3.41,10.08,3.16
33.15,-10.97,30.06,30056.00,,,,,,,13.31,2.32,9.92,2.97,10.08,3.16
33.15,-10.97,30.18,30176.00,15.63,0.25,5.48,0.23,1.65,1.65,13.31,2.32,9.92,2.97,10.08,3.16
