# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
32.09,-11.84,23.09,23091,,,,,,,27.73,9.07,27.73,12.98,27.73,11.37
32.09,-11.84,23.21,23211,,,,,,,27.73,9.07,24.57,12.74,27.73,11.37
32.09,-11.83,23.33,23331,,,,,,,24.16,3.57,24.57,12.74,27.73,11.37
32.09,-11.83,23.45,23451,,,,,,,20.59,0,27.73,10.44,26.58,11.27
32.09,-11.83,23.57,23571,,,,,,,,,35.05,10.22,25.42,11.87
32.09,-11.83,23.69,23691,,,,,,,,,27.73,10.63,25.42,11.87
32.09,-11.83,23.81,23811,,,,,,,,,26.58,9.95,25.42,11.87
32.09,-11.83,23.93,23931,,,,,,,45.33,0,26.58,9.95,25.42,11.87
32.09,-11.83,24.05,24051,,,,,,,45.33,0,26.58,9.95,25.42,11.87
32.09,-11.83,24.17,24171,,,,,,,45.33,0,26.58,9.95,23.41,11.29
32.09,-11.83,24.29,24291,,,,,,,45.33,0,25.42,9.16,23.41,11.29
32.09,-11.82,24.41,24411,45.33,0.34,15.09,0.24,8.04,8.04,45.33,0,23,10.24,23.41,10.93
32.09,-11.82,24.53,24531,,,,,,,45.33,0,25.42,10.76,23,12.18
32.09,-11.82,24.65,24651,,,,,,,32.88,12.46,25.42,10.76,23,12.18
32.09,-11.82,24.77,24771,,,,,,,25.42,10.76,25.42,10.76,23,12.18
32.09,-11.82,24.89,24891,,,,,,,25.42,10.76,25.42,10.76,21.91,11.54
32.09,-11.82,25.01,25011,,,,,,,22.92,2.5,25.42,10.76,21.91,11.54
32.09,-11.82,25.13,25131,20.42,1.18,15.06,1.05,2.58,2.58,22.92,2.5,25.42,10.76,21.25,11.27
32.09,-11.82,25.25,25251,25.42,0.27,23.06,0.11,7.74,7.74,22.92,2.5,25.42,10.76,20.59,9.99
32.09,-11.82,25.37,25371,,,,,,,22.92,2.5,22.92,12.63,20.5,10.37
32.09,-11.82,25.49,25491,,,,,,,22.92,2.5,20.42,12.85,19.83,10.4
32.08,-11.81,25.61,25611,,,,,,,22.92,2.5,20.42,12.85,19.83,10.4
32.08,-11.81,25.73,25731,,,,,,,25.42,0,20.42,12.85,19.25,10.27
32.08,-11.81,25.85,25851,,,,,,,,,21.17,11.73,18.42,9.77
32.08,-11.81,25.97,25971,,,,,,,,,20.42,6.18,18.42,9.77
32.08,-11.81,26.09,26091,,,,,,,,,18.22,5.68,18.42,9.77
32.08,-11.81,26.21,26211,,,,,,,,,18.22,5.68,19.19,9.31
32.08,-11.81,26.33,26330,,,,,,,10.71,0,18.22,5.68,19.22,8.94
32.08,-11.81,26.45,26450,,,,,,,10.42,0.28,19.25,5.29,19.25,9.1
32.08,-11.81,26.57,26569,,,,,,,10.42,0.28,19.25,5.29,19.25,9.1
32.08,-11.81,26.69,26689,,,,,,,10.42,0.28,16.01,5.56,19.25,9.1
32.08,-11.81,26.81,26809,10.71,0.17,3.06,0.03,1.17,1.17,10.71,5.42,16.01,4.27,19.25,9.1
32.08,-11.8,26.93,26929,10.14,0.26,3.53,0.31,0.83,0.83,10.71,5.42,16.01,4.27,19.22,5.96
32.08,-11.8,27.05,27049,,,,,,,13.36,4.76,16.01,4.27,19.22,5.96
32.08,-11.8,27.17,27169,,,,,,,13.36,4.76,16.8,4.2,19.22,5.96
32.08,-11.8,27.29,27289,21.91,0.43,2.03,0.3,0.66,0.66,13.36,4.76,17.6,4.46,19.22,5.96
32.08,-11.8,27.41,27409,,,-0.17,0.24,1.63,1.63,17.63,4.39,18.39,6.1,19.22,5.96
32.08,-11.8,27.53,27529,16.01,0.16,2.25,0.09,1.92,1.92,19.25,2.41,18.39,6.1,19.22,5.96
32.08,-11.8,27.65,27649,,,,,,,17.63,3.9,18.39,6.1,19.19,6.2
32.08,-11.8,27.77,27769,,,,,,,17.6,3.5,18.39,6.1,18.39,6.1
32.08,-11.8,27.89,27889,19.25,0.43,1.65,0.05,5.58,5.58,16.8,2.91,18.39,6.1,17.6,7.05
32.08,-11.79,28.01,28009,,,,,,,16.8,2.91,18.39,6.1,17.6,7.05
32.08,-11.79,28.13,28129,11.44,0.16,5.47,0.56,3.62,3.62,18.39,3.2,18.39,6.1,17.6,7.05
32.08,-11.79,28.25,28249,17.6,0.19,0.98,0.08,1.86,1.86,19.19,3.6,18.39,6.1,17.6,7.05
32.08,-11.79,28.37,28369,,,,,,,19.22,5.92,19.19,5.9,17.6,7.05
32.08,-11.79,28.49,28489,,,,,,,19.19,6.47,19.22,5.36,17.6,7.05
32.08,-11.79,28.61,28609,19.19,0.34,9.63,0.05,1.1,1.1,19.19,6.47,19.22,5.36,18.39,8.48
32.08,-11.79,28.73,28729,22.31,0.27,4.4,0.23,5.16,5.16,20.75,5.25,19.22,5.36,19.19,8.69
32.08,-11.79,28.85,28849,31.17,0.55,7.12,0.04,1.64,1.64,22.31,5.08,18.39,7.36,19.19,8.69
32.08,-11.79,28.97,28969,,,,,,,22.31,5.08,18.39,7.36,19.22,8.4
32.08,-11.79,29.09,29089,,,,,,,22.31,5.08,19.19,7.84,19.22,8.4
32.08,-11.78,29.21,29209,,,,,,,26.74,4.43,19.19,7.84,19.22,8.4
32.08,-11.78,29.33,29329,,,,,,,31.17,0,19.19,7.84,20.51,8.67
32.08,-11.78,29.45,29449,,,,,,,,,18.39,8.45,21.77,8.45
32.08,-11.78,29.57,29569,,,,,,,,,19.19,9.96,21.77,8.45
32.08,-11.78,29.69,29689,,,,,,,,,22.31,9.72,21.77,8.45
32.08,-11.78,29.81,29809,,,,,,,4.12,0,25.99,10.25,20.51,8.8
32.08,-11.78,29.93,29929,,,,,,,4.12,0,22.31,9.51,20.51,8.8
32.08,-11.78,30.05,30049,,,,,,,4.12,0,22.31,9.51,21.77,9.02
32.08,-11.78,30.17,30169,,,,,,,4.12,0,25.99,10.11,21.77,9.02
32.08,-11.77,30.29,30289,4.12,0.21,2.4,0.15,1.14,1.14,4.12,0,30.42,10.52,21.77,9.02
32.08,-11.77,30.41,30409,,,,,,,4.12,0,29.67,11.21,22.04,9.4
32.08,-11.77,30.53,30529,,,,,,,19.69,15.57,29.67,11.21,22.04,9.4
32.08,-11.77,30.65,30649,,,,,,,29.67,13.55,29.67,11.21,22.31,9.12
32.08,-11.77,30.77,30769,,,,,,,29.67,13.55,29.67,11.21,25.99,9.4
32.08,-11.77,30.89,30889,,,,,,,29.67,5.54,29.67,11.21,29.67,9.2
32.08,-11.77,31.01,31009,35.26,0.22,5.26,0.03,5.07,5.07,29.67,5.54,29.67,11.21,29.67,9.2
32.08,-11.77,31.13,31129,29.67,0.13,4.41,0.12,9.17,9.17,29.67,5.54,29.67,11.21,30.42,9.48
32.08,-11.77,31.25,31249,,,,,,,31.07,5.04,29.67,11.21,31.17,10.01
32.08,-11.76,31.37,31369,21.77,0.37,13.45,0.13,4.84,4.84,31.07,5.04,29.67,11.21,31.02,10.63
